news_id,date,stock,name,sector,language,headline,content,event_type,true_label
N000035,2020-06-22,BANKASIA,Bank Asia Limited,Bank,en,DSEX crosses 300 mark on broad-based rally,DSEX crossed the 300 mark today on a broad-based rally led by bank and pharma stocks. Analysts said positive macro indicators including remittance growth and contained inflation have boosted investor confidence.,macro,positive
N001446,2019-01-18,CUSTOMERS,Customer's Care PLC,Services,en,Bangladesh Bank holds policy rate at 40%,"Bangladesh Bank kept its policy rate unchanged at 35% in its latest monetary policy statement. The central bank struck a balanced tone, citing both inflation risks and the need to support growth.",macro,neutral
N000818,2023-07-31,ROBI,Robi Axiata Limited,Telecom,bn,আইএমএফ ঋণ শর্তে বাংলাদেশি কর্পোরেট উদ্বেগ,আইএমএফ ঋণ শর্তে বাংলাদেশি কর্পোরেট উদ্বেগ,macro,negative
N001514,2010-10-08,DSEX,DSE Broad Index,Index,en,"DSE Broad Index holds AGM, discusses future investments","At its AGM, DSE Broad Index discussed future investment plans and answered shareholder queries on capital allocation. Management said it is evaluating several options but no final decision has been taken yet.",expansion,neutral
N001484,2016-03-31,DSEX,DSE Broad Index,Index,en,Bangladesh Bank holds policy rate at 35%,"Bangladesh Bank kept its policy rate unchanged at 28% in its latest monetary policy statement. The central bank struck a balanced tone, citing both inflation risks and the need to support growth.",macro,neutral
N000528,2021-01-24,SQURPHARMA,Square Pharmaceuticals PLC,Pharma,en,Square Pharmaceuticals PLC sets record date for dividend,"Square Pharmaceuticals PLC has set the record date for entitlement to the recently declared dividend. Shareholders holding shares on the record date will be eligible for the payout, the company said in a regulatory filing.",dividend,neutral
N001347,2024-01-05,TITASGAS,Titas Gas Transmission,Gas,en,Regulator probes Titas Gas Transmission for insider trading,The Titas Gas Transmission CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N001209,2013-05-17,WALTONHIL,Walton Hi-Tech Industries,Electronics,en,Bangladesh Bank holds policy rate at 15%,"Bangladesh Bank kept its policy rate unchanged at 10% in its latest monetary policy statement. The central bank struck a balanced tone, citing both inflation risks and the need to support growth.",macro,neutral
N000976,2021-12-09,HEIDELBCEM,Heidelberg Cement Bangladesh,Cement,en,Heidelberg Cement Bangladesh defers Tk500 crore expansion plan,"Heidelberg Cement Bangladesh has deferred its Tk150 crore expansion plan, citing the current macroeconomic environment and rising financing costs. The company said it will revisit the project once conditions improve.",expansion,negative
N001541,2020-09-04,DSEX,DSE Broad Index,Index,en,Bangladesh budget proposes new tax measures,"Bangladesh Bank kept its policy rate unchanged at 20% in its latest monetary policy statement. The central bank struck a balanced tone, citing both inflation risks and the need to support growth.",macro,neutral
N000459,2024-09-27,SIBL,Social Islami Bank Limited,Bank,en,Social Islami Bank Limited to release Q4 results next week,"Social Islami Bank Limited is scheduled to release its Q4 financial results next week. The board has approved the financial statements for submission to the regulator and a press release will follow, the company secretary said.",earnings,neutral
N000751,2023-07-03,BSCCL,Bangladesh Submarine Cable Company,Telecom,bn,বাংলাদেশের GDP প্রবৃদ্ধি 25% লক্ষ্যমাত্রা ছাড়িয়েছে,বাংলাদেশের GDP প্রবৃদ্ধি 25% লক্ষ্যমাত্রা ছাড়িয়েছে,macro,positive
N000008,2018-06-28,BANKASIA,Bank Asia Limited,Bank,en,Bank Asia Limited board approves financial statements,"Bank Asia Limited is scheduled to release its Q1 financial results next week. The board has approved the financial statements for submission to the regulator and a press release will follow, the company secretary said.",earnings,neutral
N001380,2023-10-05,JAMUNAOIL,Jamuna Oil Company,Fuel,bn,বৈশ্বিক বাজার পতনে ডিএসইএক্স পতন,বৈশ্বিক বাজার পতনে ডিএসইএক্স পতন,macro,negative
N000730,2018-01-04,GP,Grameenphone Limited,Telecom,en,Grameenphone Limited sets record date for dividend,"Grameenphone Limited has set the record date for entitlement to the recently declared dividend. Shareholders holding shares on the record date will be eligible for the payout, the company said in a regulatory filing.",dividend,neutral
N000322,2012-05-30,MUTUALTRUST,Mutual Trust Bank Limited,Bank,bn,Mutual Trust Bank Limited কর ফাঁকির অভিযোগে,Mutual Trust Bank Limited কর ফাঁকির অভিযোগে,scandal,negative
N001354,2014-01-17,JAMUNAOIL,Jamuna Oil Company,Fuel,en,BSEC suspends trading of Jamuna Oil Company for 3 days,BSEC has suspended trading of Jamuna Oil Company for 5 days following a probe into compliance breaches. The regulator said the action is aimed at protecting investor interest until the matter is resolved.,regulatory,negative
N000703,2012-11-30,GP,Grameenphone Limited,Telecom,bn,Grameenphone Limited Bhutan বাজারে প্রবেশ করছে,Grameenphone Limited Bhutan বাজারে প্রবেশ করছে,expansion,positive
N000039,2015-04-21,BANKASIA,Bank Asia Limited,Bank,en,Bank Asia Limited cuts dividend by 25% to preserve capital,"Bank Asia Limited will not declare a dividend this year, the board announced, citing a 25% decline in profitability and the need to preserve capital. Shareholders reacted cautiously and the stock slipped on the news.",dividend,negative
N000862,2021-02-26,POWERGRID,Power Grid Company of Bangladesh,Power,en,Power Grid Company of Bangladesh sets record date for dividend,"Power Grid Company of Bangladesh has set the record date for entitlement to the recently declared dividend. Shareholders holding shares on the record date will be eligible for the payout, the company said in a regulatory filing.",dividend,neutral
N001070,2024-03-06,MARICO,Marico Bangladesh Limited,Consumer,bn,Marico Bangladesh Limited কে বাংলাদেশ ব্যাংক টাকা 750 কোটি জরিমানা,Marico Bangladesh Limited কে বাংলাদেশ ব্যাংক টাকা 750 কোটি জরিমানা,regulatory,negative
N000651,2012-05-18,BEXPHARMA,BEXIMCO Pharmaceuticals,Pharma,en,BEXIMCO Pharmaceuticals cleared by ACC in corruption probe,BEXIMCO Pharmaceuticals secured Bangladesh Bank approval to launch a new product in the pharma segment. The clearance comes after a year-long review process and the company plans a phased rollout beginning next month.,regulatory,positive
N001219,2012-09-28,WALTONHIL,Walton Hi-Tech Industries,Electronics,bn,Walton Hi-Tech Industries দুটি কারখানা বন্ধ করেছে,Walton Hi-Tech Industries দুটি কারখানা বন্ধ করেছে,expansion,negative
N000199,2011-03-04,DUTCHBANGL,Dutch-Bangla Bank PLC,Bank,en,Dutch-Bangla Bank PLC shares hit lower circuit on loan default rumours,The Dutch-Bangla Bank PLC CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N001395,2023-06-16,JAMUNAOIL,Jamuna Oil Company,Fuel,en,Jamuna Oil Company fined Tk50 crore by BB for compliance breach,BSEC has suspended trading of Jamuna Oil Company for 6 days following a probe into compliance breaches. The regulator said the action is aimed at protecting investor interest until the matter is resolved.,regulatory,negative
N000816,2024-05-14,ROBI,Robi Axiata Limited,Telecom,en,Robi Axiata Limited shuts two plants on energy costs,"Robi Axiata Limited has deferred its Tk50 crore expansion plan, citing the current macroeconomic environment and rising financing costs. The company said it will revisit the project once conditions improve.",expansion,negative
N001292,2026-07-28,BEXIMCO,BEXIMCO Limited,Conglomerate,en,Taka devaluation hits corporate earnings,DSEX plunged in tandem with regional markets as global risk-off sentiment triggered selling across emerging markets. Concerns over inflation at 18% and a weaker taka added to the pressure on Bangladeshi equities.,macro,negative
N001090,2016-08-12,MARICO,Marico Bangladesh Limited,Consumer,en,Bangladesh budget proposes new tax measures,"Bangladesh Bank kept its policy rate unchanged at 18% in its latest monetary policy statement. The central bank struck a balanced tone, citing both inflation risks and the need to support growth.",macro,neutral
N000320,2021-05-03,MUTUALTRUST,Mutual Trust Bank Limited,Bank,en,Regulator probes Mutual Trust Bank Limited for insider trading,The Mutual Trust Bank Limited CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N001539,2026-07-03,DSEX,DSE Broad Index,Index,bn,DSE Broad Index বার্ষিক সাধারণ সভা অনুষ্ঠিত,DSE Broad Index বার্ষিক সাধারণ সভা অনুষ্ঠিত,expansion,neutral
N001485,2014-11-26,DSEX,DSE Broad Index,Index,bn,DSE Broad Index এর নিরীক্ষক হিসাববিজ্ঞান উদ্বেগে পদত্যাগ,DSE Broad Index এর নিরীক্ষক হিসাববিজ্ঞান উদ্বেগে পদত্যাগ,scandal,negative
N000678,2024-03-18,BEXPHARMA,BEXIMCO Pharmaceuticals,Pharma,en,"BEXIMCO Pharmaceuticals holds AGM, discusses future investments","At its AGM, BEXIMCO Pharmaceuticals discussed future investment plans and answered shareholder queries on capital allocation. Management said it is evaluating several options but no final decision has been taken yet.",expansion,neutral
N000068,2021-06-21,BRACBANK,BRAC Bank Limited,Bank,en,BRAC Bank Limited Q3 profit slumps 20% as costs soar,"BRAC Bank Limited swung to a loss in Q3 as rising input costs and weaker demand eroded margins. Revenue fell 20% year-on-year and operating expenses climbed, prompting management to defer expansion plans and review costs.",earnings,negative
N001278,2016-09-26,BEXIMCO,BEXIMCO Limited,Conglomerate,en,BEXIMCO Limited sets record date for dividend,"BEXIMCO Limited has set the record date for entitlement to the recently declared dividend. Shareholders holding shares on the record date will be eligible for the payout, the company said in a regulatory filing.",dividend,neutral
N000175,2024-10-04,DUTCHBANGL,Dutch-Bangla Bank PLC,Bank,bn,Dutch-Bangla Bank PLC পরবর্তী সপ্তাহে Q3 ফলাফল প্রকাশ করবে,Dutch-Bangla Bank PLC পরবর্তী সপ্তাহে Q3 ফলাফল প্রকাশ করবে,earnings,neutral
N000520,2012-04-22,SQURPHARMA,Square Pharmaceuticals PLC,Pharma,bn,বাংলাদেশ বাজেটে নতুন কর ব্যবস্থা,বাংলাদেশ বাজেটে নতুন কর ব্যবস্থা,macro,neutral
N000268,2026-04-24,ISLAMI BANK,Islami Bank Bangladesh PLC,Bank,bn,বিএসইসি নতুন প্রকাশনা নিয়ম জারি করেছে,বিএসইসি নতুন প্রকাশনা নিয়ম জারি করেছে,regulatory,neutral
N000334,2013-10-28,MUTUALTRUST,Mutual Trust Bank Limited,Bank,bn,বিএসইসি নতুন প্রকাশনা নিয়ম জারি করেছে,বিএসইসি নতুন প্রকাশনা নিয়ম জারি করেছে,regulatory,neutral
N000998,2016-07-15,HEIDELBCEM,Heidelberg Cement Bangladesh,Cement,bn,Heidelberg Cement Bangladesh এর বিরুদ্ধে অভ্যন্তরীণ বাণিজ্যের তদন্ত,Heidelberg Cement Bangladesh এর বিরুদ্ধে অভ্যন্তরীণ বাণিজ্যের তদন্ত,scandal,negative
N001340,2022-10-28,TITASGAS,Titas Gas Transmission,Gas,en,Titas Gas Transmission signs MoU for new production line,"Titas Gas Transmission unveiled plans to invest Tk750 crore in a new gas facility expected to create 3000 jobs. The project, financed through a mix of retained earnings and bank loans, is slated for commissioning within 18 months.",expansion,positive
N001258,2021-02-05,BEXIMCO,BEXIMCO Limited,Conglomerate,en,"BEXIMCO Limited holds AGM, discusses future investments","At its AGM, BEXIMCO Limited discussed future investment plans and answered shareholder queries on capital allocation. Management said it is evaluating several options but no final decision has been taken yet.",expansion,neutral
N000792,2018-12-13,BSCCL,Bangladesh Submarine Cable Company,Telecom,en,Bangladesh Bank holds policy rate at 35%,"Bangladesh Bank kept its policy rate unchanged at 15% in its latest monetary policy statement. The central bank struck a balanced tone, citing both inflation risks and the need to support growth.",macro,neutral
N001471,2016-04-05,DSEX,DSE Broad Index,Index,en,DSE Broad Index declares 20% cash dividend for shareholders,"The board of DSE Broad Index has recommended a 25% cash dividend for shareholders for the just-ended financial year, citing strong reserves and steady cash flow. The record date has been set and approval will be sought at the upcoming AGM.",dividend,positive
N001327,2022-02-10,TITASGAS,Titas Gas Transmission,Gas,bn,Titas Gas Transmission কে বাংলাদেশ ব্যাংক টাকা 250 কোটি জরিমানা,Titas Gas Transmission কে বাংলাদেশ ব্যাংক টাকা 250 কোটি জরিমানা,regulatory,negative
N000606,2021-07-23,ACI,ACI Limited,Pharma,en,ACI Limited announces special dividend on strong reserves,"The board of ACI Limited has recommended a 25% cash dividend for shareholders for the just-ended financial year, citing strong reserves and steady cash flow. The record date has been set and approval will be sought at the upcoming AGM.",dividend,positive
N001170,2012-08-03,BATBC,British American Tobacco Bangladesh,Tobacco,en,British American Tobacco Bangladesh shares hit lower circuit on loan default rumours,The British American Tobacco Bangladesh CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N001236,2019-04-19,WALTONHIL,Walton Hi-Tech Industries,Electronics,bn,Walton Hi-Tech Industries দক্ষিণ এশিয়ার বৃহত্তম সৌর বিদ্যুৎ কেন্দ্র চালু করেছে,Walton Hi-Tech Industries দক্ষিণ এশিয়ার বৃহত্তম সৌর বিদ্যুৎ কেন্দ্র চালু করেছে,expansion,positive
N000349,2017-05-29,MUTUALTRUST,Mutual Trust Bank Limited,Bank,en,"Bangladesh inflation climbs to 35%, highest in 5 years",DSEX plunged in tandem with regional markets as global risk-off sentiment triggered selling across emerging markets. Concerns over inflation at 22% and a weaker taka added to the pressure on Bangladeshi equities.,macro,negative
N000657,2013-12-02,BEXPHARMA,BEXIMCO Pharmaceuticals,Pharma,en,BEXIMCO Pharmaceuticals misses revenue forecasts for third straight quarter,"BEXIMCO Pharmaceuticals swung to a loss in Q4 as rising input costs and weaker demand eroded margins. Revenue fell 12% year-on-year and operating expenses climbed, prompting management to defer expansion plans and review costs.",earnings,negative
N001523,2024-09-05,DSEX,DSE Broad Index,Index,en,"DSE Broad Index holds AGM, discusses future investments","At its AGM, DSE Broad Index discussed future investment plans and answered shareholder queries on capital allocation. Management said it is evaluating several options but no final decision has been taken yet.",expansion,neutral
N000837,2016-06-30,ROBI,Robi Axiata Limited,Telecom,en,Robi Axiata Limited board approves financial statements,"Robi Axiata Limited is scheduled to release its Q2 financial results next week. The board has approved the financial statements for submission to the regulator and a press release will follow, the company secretary said.",earnings,neutral
N001552,2023-04-14,DSEX,DSE Broad Index,Index,en,DSE Broad Index sets record date for dividend,"DSE Broad Index has set the record date for entitlement to the recently declared dividend. Shareholders holding shares on the record date will be eligible for the payout, the company said in a regulatory filing.",dividend,neutral
N000923,2010-05-03,SUMITPOWER,Summit Power International,Power,bn,Summit Power International টাকা 50 কোটি সম্প্রসারণ পরিকল্পনা স্থগিত,Summit Power International টাকা 50 কোটি সম্প্রসারণ পরিকল্পনা স্থগিত,expansion,negative
N000649,2012-04-06,ACI,ACI Limited,Pharma,bn,ACI Limited বার্ষিক সাধারণ সভা অনুষ্ঠিত,ACI Limited বার্ষিক সাধারণ সভা অনুষ্ঠিত,expansion,neutral
N000849,2019-09-27,ROBI,Robi Axiata Limited,Telecom,en,Robi Axiata Limited signs MoU for new production line,"Robi Axiata Limited unveiled plans to invest Tk200 crore in a new telecom facility expected to create 3000 jobs. The project, financed through a mix of retained earnings and bank loans, is slated for commissioning within 18 months.",expansion,positive
N000781,2016-03-10,BSCCL,Bangladesh Submarine Cable Company,Telecom,en,Bangladesh Submarine Cable Company shares hit lower circuit on loan default rumours,The Bangladesh Submarine Cable Company CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N001184,2022-02-15,BATBC,British American Tobacco Bangladesh,Tobacco,bn,British American Tobacco Bangladesh নতুন পণ্যের জন্য কেন্দ্রীয় ব্যাংকের অনুমোদন পেয়েছে,British American Tobacco Bangladesh নতুন পণ্যের জন্য কেন্দ্রীয় ব্যাংকের অনুমোদন পেয়েছে,regulatory,positive
N000078,2015-04-09,BRACBANK,BRAC Bank Limited,Bank,en,DSEX plunges on global market rout,DSEX plunged in tandem with regional markets as global risk-off sentiment triggered selling across emerging markets. Concerns over inflation at 20% and a weaker taka added to the pressure on Bangladeshi equities.,macro,negative
N001111,2011-09-23,UNILEVER,Unilever Consumer Care,Consumer,bn,উচ্চ মুনাফার কারণে Unilever Consumer Care এর রেটিং উন্নীত,উচ্চ মুনাফার কারণে Unilever Consumer Care এর রেটিং উন্নীত,earnings,positive
N000632,2013-05-20,ACI,ACI Limited,Pharma,bn,ACI Limited বিশেষ লভ্যাংশ ঘোষণা করেছে,ACI Limited বিশেষ লভ্যাংশ ঘোষণা করেছে,dividend,positive
N001257,2014-02-07,BEXIMCO,BEXIMCO Limited,Conglomerate,en,BEXIMCO Limited commissions largest solar plant in South Asia,"BEXIMCO Limited unveiled plans to invest Tk150 crore in a new conglomerate facility expected to create 2000 jobs. The project, financed through a mix of retained earnings and bank loans, is slated for commissioning within 18 months.",expansion,positive
N000904,2010-06-04,SUMITPOWER,Summit Power International,Power,en,DSEX plunges on global market rout,DSEX plunged in tandem with regional markets as global risk-off sentiment triggered selling across emerging markets. Concerns over inflation at 18% and a weaker taka added to the pressure on Bangladeshi equities.,macro,negative
N000245,2016-05-06,EBL,Eastern Bank PLC,Bank,bn,Eastern Bank PLC কর ফাঁকির অভিযোগে,Eastern Bank PLC কর ফাঁকির অভিযোগে,scandal,negative
N000957,2017-11-03,HEIDELBCEM,Heidelberg Cement Bangladesh,Cement,bn,ডিএসইএক্স 500 ছাড়িয়েছে,ডিএসইএক্স 500 ছাড়িয়েছে,macro,positive
N000897,2015-03-27,POWERGRID,Power Grid Company of Bangladesh,Power,bn,Power Grid Company of Bangladesh টাকা 300 কোটি টাকার নতুন কারখানা উদ্বোধন,Power Grid Company of Bangladesh টাকা 300 কোটি টাকার নতুন কারখানা উদ্বোধন,expansion,positive
N000301,2018-12-06,MUTUALTRUST,Mutual Trust Bank Limited,Bank,bn,বাংলাদেশ ব্যাংক নীতি সুদের হার 18% বজায় রেখেছে,বাংলাদেশ ব্যাংক নীতি সুদের হার 18% বজায় রেখেছে,macro,neutral
N000721,2016-10-04,GP,Grameenphone Limited,Telecom,en,Grameenphone Limited cleared by ACC in corruption probe,Grameenphone Limited secured Bangladesh Bank approval to launch a new product in the telecom segment. The clearance comes after a year-long review process and the company plans a phased rollout beginning next month.,regulatory,positive
N000891,2018-12-07,POWERGRID,Power Grid Company of Bangladesh,Power,en,Bangladesh GDP growth beats forecasts at 22%,DSEX crossed the 200 mark today on a broad-based rally led by bank and pharma stocks. Analysts said positive macro indicators including remittance growth and contained inflation have boosted investor confidence.,macro,positive
N000397,2024-07-19,NCCBANK,National Credit & Commerce Bank,Bank,en,National Credit & Commerce Bank shuts two plants on energy costs,"National Credit & Commerce Bank has deferred its Tk100 crore expansion plan, citing the current macroeconomic environment and rising financing costs. The company said it will revisit the project once conditions improve.",expansion,negative
N000414,2022-05-25,PRIMEBANK,Prime Bank Limited,Bank,bn,ঋণ খেলাপির গুজবে Prime Bank Limited এর শেয়ার নিম্ন সার্কিটে,ঋণ খেলাপির গুজবে Prime Bank Limited এর শেয়ার নিম্ন সার্কিটে,scandal,negative
N000662,2025-08-13,BEXPHARMA,BEXIMCO Pharmaceuticals,Pharma,en,Bangladesh GDP growth beats forecasts at 10%,DSEX crossed the 1000 mark today on a broad-based rally led by bank and pharma stocks. Analysts said positive macro indicators including remittance growth and contained inflation have boosted investor confidence.,macro,positive
N000052,2013-01-04,BRACBANK,BRAC Bank Limited,Bank,en,BRAC Bank Limited to release Q3 results next week,"BRAC Bank Limited is scheduled to release its Q3 financial results next week. The board has approved the financial statements for submission to the regulator and a press release will follow, the company secretary said.",earnings,neutral
N000258,2022-10-17,ISLAMI BANK,Islami Bank Bangladesh PLC,Bank,en,Islami Bank Bangladesh PLC faces tax evasion charges,The Islami Bank Bangladesh PLC CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N000380,2026-04-06,NCCBANK,National Credit & Commerce Bank,Bank,en,"National Credit & Commerce Bank declares higher EPS, shares trade at premium","National Credit & Commerce Bank reported Q3 earnings that beat analyst estimates by 10%, driven by stronger-than-expected demand in the core bank segment. Management attributed the performance to improved margins and a 10% rise in revenue, and said it expects the momentum to continue next quarter.",earnings,positive
N000981,2019-07-26,HEIDELBCEM,Heidelberg Cement Bangladesh,Cement,bn,ঋণ খেলাপির গুজবে Heidelberg Cement Bangladesh এর শেয়ার নিম্ন সার্কিটে,ঋণ খেলাপির গুজবে Heidelberg Cement Bangladesh এর শেয়ার নিম্ন সার্কিটে,scandal,negative
N001078,2014-05-06,MARICO,Marico Bangladesh Limited,Consumer,en,"Marico Bangladesh Limited declares higher EPS, shares trade at premium","Marico Bangladesh Limited reported Q4 earnings that beat analyst estimates by 30%, driven by stronger-than-expected demand in the core consumer segment. Management attributed the performance to improved margins and a 30% rise in revenue, and said it expects the momentum to continue next quarter.",earnings,positive
N000050,2018-04-16,BANKASIA,Bank Asia Limited,Bank,bn,Bank Asia Limited দক্ষিণ এশিয়ার বৃহত্তম সৌর বিদ্যুৎ কেন্দ্র চালু করেছে,Bank Asia Limited দক্ষিণ এশিয়ার বৃহত্তম সৌর বিদ্যুৎ কেন্দ্র চালু করেছে,expansion,positive
N000609,2018-01-31,ACI,ACI Limited,Pharma,bn,প্রবাসী আয় 2 প্রান্তিকে 25% বেড়েছে,প্রবাসী আয় 2 প্রান্তিকে 25% বেড়েছে,macro,positive
N001481,2014-04-02,DSEX,DSE Broad Index,Index,en,DSE Broad Index cleared by ACC in corruption probe,DSE Broad Index secured Bangladesh Bank approval to launch a new product in the index segment. The clearance comes after a year-long review process and the company plans a phased rollout beginning next month.,regulatory,positive
N000067,2019-09-30,BRACBANK,BRAC Bank Limited,Bank,bn,BRAC Bank Limited বার্ষিক সাধারণ সভা অনুষ্ঠিত,BRAC Bank Limited বার্ষিক সাধারণ সভা অনুষ্ঠিত,expansion,neutral
N001394,2015-05-07,JAMUNAOIL,Jamuna Oil Company,Fuel,bn,Jamuna Oil Company Nepal বাজারে প্রবেশ করছে,Jamuna Oil Company Nepal বাজারে প্রবেশ করছে,expansion,positive
N001076,2015-04-15,MARICO,Marico Bangladesh Limited,Consumer,bn,Marico Bangladesh Limited লভ্যাংশ প্রদানের হার বাড়িয়ে 40% করেছে,Marico Bangladesh Limited লভ্যাংশ প্রদানের হার বাড়িয়ে 40% করেছে,dividend,positive
N001291,2020-05-22,BEXIMCO,BEXIMCO Limited,Conglomerate,bn,BEXIMCO Limited এর সিইও ঋণ জালিয়াতিতে গ্রেফতার,BEXIMCO Limited এর সিইও ঋণ জালিয়াতিতে গ্রেফতার,scandal,negative
N001289,2010-05-11,BEXIMCO,BEXIMCO Limited,Conglomerate,en,DSEX crosses 1000 mark on broad-based rally,DSEX crossed the 800 mark today on a broad-based rally led by bank and pharma stocks. Analysts said positive macro indicators including remittance growth and contained inflation have boosted investor confidence.,macro,positive
N001195,2010-06-11,BATBC,British American Tobacco Bangladesh,Tobacco,bn,British American Tobacco Bangladesh কে বাংলাদেশ ব্যাংক টাকা 100 কোটি জরিমানা,British American Tobacco Bangladesh কে বাংলাদেশ ব্যাংক টাকা 100 কোটি জরিমানা,regulatory,negative
N000500,2024-02-02,SIBL,Social Islami Bank Limited,Bank,bn,রপ্তানি বৃদ্ধিতে টাকা মূল্যবৃদ্ধি,রপ্তানি বৃদ্ধিতে টাকা মূল্যবৃদ্ধি,macro,positive
N001428,2025-12-24,CUSTOMERS,Customer's Care PLC,Services,en,"Customer's Care PLC holds AGM, discusses future investments","At its AGM, Customer's Care PLC discussed future investment plans and answered shareholder queries on capital allocation. Management said it is evaluating several options but no final decision has been taken yet.",expansion,neutral
N001532,2023-07-21,DSEX,DSE Broad Index,Index,bn,DSE Broad Index কর ফাঁকির অভিযোগে,DSE Broad Index কর ফাঁকির অভিযোগে,scandal,negative
N000488,2014-10-02,SIBL,Social Islami Bank Limited,Bank,en,Social Islami Bank Limited faces tax evasion charges,The Social Islami Bank Limited CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N000385,2013-03-19,NCCBANK,National Credit & Commerce Bank,Bank,en,Bangladesh budget proposes new tax measures,"Bangladesh Bank kept its policy rate unchanged at 12% in its latest monetary policy statement. The central bank struck a balanced tone, citing both inflation risks and the need to support growth.",macro,neutral
N001525,2012-06-22,DSEX,DSE Broad Index,Index,en,Regulator probes DSE Broad Index for insider trading,The DSE Broad Index CEO was arrested by the ACC in connection with a multi-crore loan scam involving several defaulters. The regulator has also ordered an asset freeze on company directors pending investigation.,scandal,negative
N001429,2023-01-13,CUSTOMERS,Customer's Care PLC,Services,en,BSEC issues new disclosure rules affecting Customer's Care PLC,BSEC has issued new disclosure rules that will affect how Customer's Care PLC reports quarterly results. The company said it is reviewing the guidelines and will ensure full compliance within the stipulated timeline.,regulatory,neutral
N000478,2023-03-10,SIBL,Social Islami Bank Limited,Bank,bn,টাকা অবমূল্যায়নে কর্পোরেট মুনাফায় চাপ,টাকা অবমূল্যায়নে কর্পোরেট মুনাফায় চাপ,macro,negative
N001444,2010-09-03,CUSTOMERS,Customer's Care PLC,Services,en,Customer's Care PLC cleared by ACC in corruption probe,Customer's Care PLC secured Bangladesh Bank approval to launch a new product in the services segment. The clearance comes after a year-long review process and the company plans a phased rollout beginning next month.,regulatory,positive
N000961,2020-10-19,HEIDELBCEM,Heidelberg Cement Bangladesh,Cement,en,Heidelberg Cement Bangladesh sets record date for dividend,"Heidelberg Cement Bangladesh has set the record date for entitlement to the recently declared dividend. Shareholders holding shares on the record date will be eligible for the payout, the company said in a regulatory filing.",dividend,neutral
N000690,2026-01-09,BEXPHARMA,BEXIMCO Pharmaceuticals,Pharma,bn,BEXIMCO Pharmaceuticals বার্ষিক সাধারণ সভা অনুষ্ঠিত,BEXIMCO Pharmaceuticals বার্ষিক সাধারণ সভা অনুষ্ঠিত,expansion,neutral
N001522,2021-01-11,DSEX,DSE Broad Index,Index,en,"DSE Broad Index posts record quarterly profit, beats estimates","DSE Broad Index reported Q1 earnings that beat analyst estimates by 18%, driven by stronger-than-expected demand in the core index segment. Management attributed the performance to improved margins and a 18% rise in revenue, and said it expects the momentum to continue next quarter.",earnings,positive
N000248,2024-11-19,EBL,Eastern Bank PLC,Bank,en,Eastern Bank PLC cuts dividend by 20% to preserve capital,"Eastern Bank PLC will not declare a dividend this year, the board announced, citing a 30% decline in profitability and the need to preserve capital. Shareholders reacted cautiously and the stock slipped on the news.",dividend,negative
N000784,2016-03-15,BSCCL,Bangladesh Submarine Cable Company,Telecom,bn,Bangladesh Submarine Cable Company লভ্যাংশের রেকর্ড তারিখ নির্ধারণ করেছে,Bangladesh Submarine Cable Company লভ্যাংশের রেকর্ড তারিখ নির্ধারণ করেছে,dividend,neutral
N000808,2026-07-24,ROBI,Robi Axiata Limited,Telecom,en,"Robi Axiata Limited declares higher EPS, shares trade at premium","Robi Axiata Limited reported Q2 earnings that beat analyst estimates by 15%, driven by stronger-than-expected demand in the core telecom segment. Management attributed the performance to improved margins and a 15% rise in revenue, and said it expects the momentum to continue next quarter.",earnings,positive
N001371,2021-04-28,JAMUNAOIL,Jamuna Oil Company,Fuel,bn,Jamuna Oil Company বার্ষিক সাধারণ সভা অনুষ্ঠিত,Jamuna Oil Company বার্ষিক সাধারণ সভা অনুষ্ঠিত,expansion,neutral
N000290,2011-07-05,ISLAMI BANK,Islami Bank Bangladesh PLC,Bank,en,Islami Bank Bangladesh PLC sets record date for dividend,"Islami Bank Bangladesh PLC has set the record date for entitlement to the recently declared dividend. Shareholders holding shares on the record date will be eligible for the payout, the company said in a regulatory filing.",dividend,neutral
N000292,2018-05-04,ISLAMI BANK,Islami Bank Bangladesh PLC,Bank,en,Islami Bank Bangladesh PLC to release Q4 results next week,"Islami Bank Bangladesh PLC is scheduled to release its Q4 financial results next week. The board has approved the financial statements for submission to the regulator and a press release will follow, the company secretary said.",earnings,neutral
